Données validées
Dates ;CINQAV - CO2 Mars_Longchamp ppmv      ;;CINQAV - PM10 FIDAS CINQAV microg/m3 ;;CINQAV - PM25 FIDAS 5AV microg/m3 ;;CINQAV - PM1 FIDAS CINQAV microg/m3 ;
05/01/2026 07:00;452.46;A;14.6;A;10.0;A;8.6;A
05/01/2026 08:00;456.73;A;19.4;A;11.2;A;9.4;A
05/01/2026 09:00;451.10;A;21.4;A;11.5;A;9.5;A
05/01/2026 10:00;449.43;A;25.3;A;12.8;A;10.4;A
05/01/2026 11:00;452.44;A;29.9;A;16.1;A;13.4;A
05/01/2026 12:00;444.74;A;21.1;A;13.1;A;11.3;A
05/01/2026 13:00;439.98;A;16.8;A;10.6;A;9.2;A
05/01/2026 14:00;438.82;A;13.6;A;9.2;A;8.0;A
05/01/2026 15:00;439.82;A;15.6;A;8.8;A;7.5;A
05/01/2026 16:00;441.43;A;14.8;A;9.4;A;8.1;A
05/01/2026 17:00;443.91;A;15.9;A;10.7;A;9.4;A
05/01/2026 18:00;444.13;A;17.8;A;10.6;A;9.2;A
05/01/2026 19:00;445.86;A;18.0;A;11.6;A;10.2;A
05/01/2026 20:00;447.56;A;18.1;A;13.1;A;11.8;A
05/01/2026 21:00;449.65;A;21.8;A;15.9;A;14.4;A
05/01/2026 22:00;449.54;A;22.8;A;17.0;A;15.5;A
05/01/2026 23:00;449.70;A;26.1;A;19.6;A;18.0;A
05/01/2026 24:00;450.55;A;22.9;A;19.4;A;18.2;A
06/01/2026 01:00;450.51;A;23.6;A;18.0;A;16.5;A
06/01/2026 02:00;451.89;A;27.5;A;18.9;A;17.1;A
06/01/2026 03:00;457.67;A;27.4;A;19.1;A;17.3;A
06/01/2026 04:00;454.99;A;29.3;A;19.1;A;17.0;A
06/01/2026 05:00;457.77;A;21.9;A;16.5;A;15.1;A
06/01/2026 06:00;465.58;A;23.8;A;17.0;A;15.2;A
06/01/2026 07:00;465.28;A;29.0;A;18.6;A;16.4;A
06/01/2026 08:00;;N;;N;;N;;N
06/01/2026 09:00;;N;;N;;N;;N
06/01/2026 10:00;;N;;N;;N;;N
06/01/2026 11:00;;N;;N;;N;;N
06/01/2026 12:00;;N;;N;;N;;N
06/01/2026 13:00;;N;;N;;N;;N
06/01/2026 14:00;;N;;N;;N;;N
06/01/2026 15:00;;N;34.7;A;10.9;A;7.6;A
06/01/2026 16:00;;N;34.9;A;13.0;A;9.8;A
06/01/2026 17:00;;N;26.1;A;11.6;A;9.5;A
06/01/2026 18:00;;N;20.1;A;10.0;A;8.5;A
06/01/2026 19:00;;N;17.9;A;9.2;A;7.8;A
06/01/2026 20:00;;N;15.6;A;10.0;A;8.9;A
06/01/2026 21:00;;N;13.5;A;8.8;A;7.8;A
06/01/2026 22:00;;N;11.3;A;8.7;A;8.0;A
06/01/2026 23:00;;N;11.1;A;8.9;A;8.2;A
06/01/2026 24:00;;N;11.6;A;9.4;A;8.7;A
07/01/2026 01:00;;N;9.8;A;8.1;A;7.5;A
07/01/2026 02:00;;N;9.7;A;7.6;A;7.0;A
07/01/2026 03:00;;N;10.0;A;7.5;A;6.9;A
07/01/2026 04:00;;N;10.9;A;7.5;A;6.8;A
07/01/2026 05:00;;N;9.2;A;6.7;A;6.1;A
07/01/2026 06:00;;N;10.1;A;6.8;A;5.9;A
07/01/2026 07:00;;N;9.1;A;6.6;A;6.0;A
07/01/2026 08:00;;N;;N;;N;;N
07/01/2026 09:00;;N;13.5;A;7.4;A;6.3;A
07/01/2026 10:00;;N;18.0;A;8.0;A;6.4;A
07/01/2026 11:00;;N;;N;;N;;N
07/01/2026 12:00;;N;;N;;N;;N
07/01/2026 13:00;;N;;N;;N;;N
07/01/2026 14:00;;N;;N;;N;;N
07/01/2026 15:00;;N;;N;;N;;N
07/01/2026 16:00;;N;;N;;N;;N
07/01/2026 17:00;;N;;N;;N;;N
07/01/2026 18:00;;N;;N;;N;;N
07/01/2026 19:00;;N;;N;;N;;N
07/01/2026 20:00;;N;;N;;N;;N
07/01/2026 21:00;;N;;N;;N;;N
07/01/2026 22:00;;N;;N;;N;;N
07/01/2026 23:00;;N;;N;;N;;N
07/01/2026 24:00;;N;;N;;N;;N
08/01/2026 01:00;;N;;N;;N;;N
08/01/2026 02:00;;N;;N;;N;;N
08/01/2026 03:00;;N;;N;;N;;N
08/01/2026 04:00;;N;;N;;N;;N
08/01/2026 05:00;;N;;N;;N;;N
08/01/2026 06:00;;N;;N;;N;;N
08/01/2026 07:00;;N;;N;;N;;N
08/01/2026 08:00;;N;;N;;N;;N
08/01/2026 09:00;;N;;N;;N;;N
08/01/2026 10:00;;N;;N;;N;;N
08/01/2026 11:00;;N;;N;;N;;N
08/01/2026 12:00;;N;;N;;N;;N
08/01/2026 13:00;;N;;N;;N;;N
08/01/2026 14:00;;N;;N;;N;;N
08/01/2026 15:00;;N;;N;;N;;N
08/01/2026 16:00;;N;;N;;N;;N
08/01/2026 17:00;;N;;N;;N;;N
08/01/2026 18:00;;N;;N;;N;;N
08/01/2026 19:00;;N;;N;;N;;N
08/01/2026 20:00;;N;;N;;N;;N
08/01/2026 21:00;;N;;N;;N;;N
08/01/2026 22:00;;N;;N;;N;;N
08/01/2026 23:00;;N;;N;;N;;N
08/01/2026 24:00;;N;;N;;N;;N
