time,pm1,pm25,pm10,temperature,humidite
2026-01-27T07:45:00.000Z,3.036666667,3.37,4.58,14.18,61.62533333
2026-01-27T08:00:00.000Z,2.996666667,3.343333333,4.516666667,14.29566667,62.47533333
2026-01-27T08:15:00.000Z,2.683333333,2.98,4.043333333,14.47,62.91266667
2026-01-27T08:30:00.000Z,1.626666667,1.81,2.47,14.87933333,62.57033333
2026-01-27T08:45:00.000Z,1.253333333,1.4,1.91,14.821,63.37566667
2026-01-27T09:00:00.000Z,1.563333333,1.736666667,2.363333333,15.10733333,62.881
2026-01-27T09:15:00.000Z,1.363333333,1.516666667,2.07,15.44333333,62.26766667
2026-01-27T09:30:00.000Z,1.483333333,1.656666667,2.253333333,15.48466667,62.44566667
2026-01-27T09:45:00.000Z,1.26,1.413333333,1.92,15.484,62.53933333
2026-01-27T10:00:00.000Z,1.276666667,1.416666667,1.936666667,15.77933333,62.35833333
2026-01-27T10:15:00.000Z,1.713333333,1.9,2.583333333,16.04366667,62.54766667
2026-01-27T10:30:00.000Z,2.25,2.496666667,3.393333333,16.21033333,63.07166667
2026-01-27T10:45:00.000Z,2.163333333,2.403333333,3.263333333,16.71933333,62.179
2026-01-27T11:00:00.000Z,2.663333333,2.97,4.03,16.765,61.87166667
2026-01-27T11:15:00.000Z,2.956666667,3.28,4.47,16.99,61.82966667
2026-01-27T11:30:00.000Z,4.393333333,4.89,6.626666667,17.09466667,62.89366667
2026-01-27T11:45:00.000Z,3.666666667,4.066666667,5.53,17.253,61.59866667
2026-01-27T12:00:00.000Z,4.286666667,4.75,6.443333333,17.401,61.469
2026-01-27T12:15:00.000Z,5.476666667,6.093333333,8.256666667,17.77966667,61.17433333
2026-01-27T12:30:00.000Z,7.25,8.043333333,10.88666667,18.46233333,60.93066667
2026-01-27T12:45:00.000Z,10.01666667,11.13333333,15.04666667,18.85066667,61.21633333
2026-01-27T13:00:00.000Z,10.2,11.33666667,15.32666667,19.048,60.52233333
2026-01-27T13:15:00.000Z,9.7,10.76666667,14.57,19.143,59.47566667
2026-01-27T13:30:00.000Z,10.02666667,11.13666667,15.06,19.326,58.97366667
2026-01-27T13:45:00.000Z,10.64,11.81,15.97,19.09866667,59.87033333
2026-01-27T14:00:00.000Z,12.78666667,14.19,19.2,19.216,60.491
2026-01-27T14:15:00.000Z,10.52333333,11.67666667,15.80333333,19.08233333,60.38633333
2026-01-27T14:30:00.000Z,12.09,13.42,18.16666667,19.20133333,60.39933333
2026-01-27T14:45:00.000Z,14.73666667,16.36666667,22.13,19.35933333,60.33066667
2026-01-27T15:00:00.000Z,14.67333333,16.28333333,22.02,19.155,61.26666667
2026-01-27T15:15:00.000Z,13.72,15.23333333,20.60333333,19.07033333,61.76533333
2026-01-27T15:30:00.000Z,14.02666667,15.58,21.06333333,18.85133333,62.503
2026-01-27T15:45:00.000Z,13.98333333,15.52666667,21,18.962,62.06566667
2026-01-27T16:00:00.000Z,12.04333333,13.38666667,18.1,18.93666667,61.70666667
2026-01-27T16:15:00.000Z,11.78666667,13.08333333,17.70333333,18.87366667,61.575
2026-01-27T16:30:00.000Z,13.01333333,14.45333333,19.55333333,18.71066667,61.666
2026-01-27T16:45:00.000Z,13.52333333,15.01,20.30333333,18.58066667,61.795
2026-01-27T17:00:00.000Z,12,13.33,18.02333333,18.65266667,61.22166667
2026-01-27T17:15:00.000Z,12.2,13.54666667,18.33,18.59966667,61.66
2026-01-27T17:30:00.000Z,12.80666667,14.22,19.22666667,18.33233333,62.03033333
2026-01-27T17:45:00.000Z,12.67,14.07,19.03666667,18.48833333,62.004
2026-01-27T18:00:00.000Z,11.57666667,12.85333333,17.4,18.40733333,62.24166667
2026-01-27T18:15:00.000Z,10.98,12.19666667,16.49666667,18.385,62.134
2026-01-27T18:30:00.000Z,10.10666667,11.22333333,15.19333333,18.40833333,62.36766667
2026-01-27T18:45:00.000Z,8.873333333,9.87,13.35,18.44366667,62.26933333
2026-01-27T19:00:00.000Z,8.796666667,9.773333333,13.23,18.24566667,63.08633333
2026-01-27T19:15:00.000Z,9.568965517,10.62758621,14.37931034,18.07724138,63.46862069
2026-01-27T19:30:00.000Z,7.663333333,8.5,11.52333333,18.153,63.135
2026-01-27T19:45:00.000Z,5.81,6.446666667,8.73,18.055,62.66666667
2026-01-27T20:00:00.000Z,6.075862069,6.744827586,9.148275862,18.00793103,62.5762069
2026-01-27T20:15:00.000Z,7.44516129,8.261290323,11.19032258,18.01258065,63.22419355
2026-01-27T20:30:00.000Z,6.97,7.756666667,10.48666667,18.17833333,62.944
2026-01-27T20:45:00.000Z,7.703333333,8.566666667,11.57666667,18.04333333,63.603
2026-01-27T21:00:00.000Z,7.46,8.273333333,11.20333333,17.972,63.10466667
2026-01-27T21:15:00.000Z,5.266666667,5.846666667,7.91,18.027,61.58033333
2026-01-27T21:30:00.000Z,5.256666667,5.84,7.906666667,17.89,61.059
2026-01-27T21:45:00.000Z,4.506666667,5.016666667,6.796666667,17.711,61.291
2026-01-27T22:00:00.000Z,4.37,4.866666667,6.59,17.67366667,61.49133333
2026-01-27T22:15:00.000Z,3.49,3.88,5.26,17.83333333,61.18933333
2026-01-27T22:30:00.000Z,4.13,4.59,6.226666667,17.82966667,61.39433333
2026-01-27T22:45:00.000Z,4.213333333,4.693333333,6.346666667,17.837,61.78366667
2026-01-27T23:00:00.000Z,4.51,5.03,6.793333333,18.03233333,61.684
2026-01-27T23:15:00.000Z,3.996666667,4.436666667,6.023333333,18.243,61.38066667
2026-01-27T23:30:00.000Z,6.863333333,7.613333333,10.31666667,18.292,61.75666667
2026-01-27T23:45:00.000Z,4.546666667,5.053333333,6.853333333,17.79233333,63.48833333
2026-01-28T00:00:00.000Z,4.21,4.676666667,6.336666667,17.13666667,65.36733333
2026-01-28T00:15:00.000Z,3.94,4.38,5.93,17.20766667,64.99666667
2026-01-28T00:30:00.000Z,5.02,5.57,7.55,16.853,65.071
2026-01-28T00:45:00.000Z,4.19,4.656666667,6.296666667,16.737,64.709
2026-01-28T01:00:00.000Z,3.793333333,4.206666667,5.703333333,16.66866667,64.78133333
2026-01-28T01:15:00.000Z,2.496666667,2.776666667,3.78,16.20733333,63.958
2026-01-28T01:30:00.000Z,1.793333333,2.006666667,2.713333333,15.54433333,64.199
2026-01-28T01:45:00.000Z,1.443333333,1.603333333,2.176666667,15.428,63.89866667
2026-01-28T02:00:00.000Z,0.953333333,1.056666667,1.46,15.39033333,64.22333333
2026-01-28T02:15:00.000Z,1.766666667,1.966666667,2.676666667,15.37766667,63.776
2026-01-28T02:30:00.000Z,2.216666667,2.47,3.366666667,15.08866667,64.06033333
2026-01-28T02:45:00.000Z,2.58,2.873333333,3.896666667,14.85866667,63.81466667
2026-01-28T03:00:00.000Z,0.75,0.846666667,1.17,13.90733333,62.47766667
2026-01-28T03:15:00.000Z,0.683333333,0.763333333,1.056666667,12.97166667,61.892
2026-01-28T03:30:00.000Z,0.47,0.543333333,0.746666667,12.52333333,62.14866667
2026-01-28T03:45:00.000Z,0.57,0.633333333,0.876666667,12.227,61.64733333
2026-01-28T04:00:00.000Z,0.57,0.613333333,0.856666667,12.04433333,61.76533333
2026-01-28T04:15:00.000Z,0.353333333,0.393333333,0.626666667,11.942,60.40966667
2026-01-28T04:30:00.000Z,0.383333333,0.426666667,0.603333333,11.86133333,59.97733333
2026-01-28T04:45:00.000Z,0.373333333,0.416666667,0.583333333,11.76733333,59.75666667
